id,name,description,category,address,suburb,state,postcode,latitude,longitude,phone,email,website,hours,eligibility,cost,source_id,source_name,source_organisation,source_jurisdiction,source_license,source_url,source_date,quality,location_precision
sa_child_family_health_0039,Kapunda,Child and family health centre,health,"Kapunda Hospital, Nash Street",Kapunda,SA,5373,-34.30301,138.93034,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0040,Karcultaby,Child and family health centre,health,School,Karcultaby,SA,5654,-32.86079,134.99083,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0041,Karoonda,Child and family health centre,health,"Karoonda Hospital, 13 Stokes Rd",Karoonda,SA,5307,-35.03756,140.24215,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0042,Keith,Child and family health centre,health,Keith District Hospital 35 Hill Avenue,Keith,SA,5267,-36.08425,140.34237,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0043,Kimba,Child and family health centre,health,West Tce,Kimba,SA,5641,-33.05868,136.31106,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0044,Kingscote,Child and family health centre,health,56 Dauncey Street,Kingscote,SA,5223,-35.78616,137.53965,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0045,Kingston,Child and family health centre,health,"Community Health Centre, Kingston Memorial Hospital, 33 Young Street",Kingston,SA,5275,-36.61323,139.93713,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0046,Koonibba,Child and family health centre,health,Health Centre,Koonibba,SA,5690,-31.98642,133.25248,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0047,Lameroo,Child and family health centre,health,"St John's Centre, Chandos Terrace",Lameroo,SA,5302,-35.57951,140.32532,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0048,Laura,Child and family health centre,health,"Hospital, cnr Kingston and Mill Streets",Laura,SA,5480,-33.12575,138.31983,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0049,Leigh Creek,Child and family health centre,health,"Leigh Creek Hospital, Blackoak Drive",Leigh Creek,SA,5731,-29.70006,139.34180,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0050,Lock,Child and family health centre,health,"Community Health Centre, North Terrace",Lock,SA,5633,-33.43813,135.62500,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0051,Loxton,Child and family health centre,health,Tobruk Terrace,Loxton,SA,5333,-34.47278,140.63364,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0052,Maitland,Child and family health centre,health,"Community Health Centre, 69 Robert Street",Maitland,SA,5573,-34.50300,137.50567,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0053,Mannum,Child and family health centre,health,"Mannum Hospital, Parker Street",Mannum,SA,5238,-34.86489,139.48456,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0054,Marion,Child and family health centre,health,"Level 3, Office Tower, Westfield Marion Shopping Centre, 297 Diagonal Road",Oaklands Park,SA,5046,-35.00379,138.53543,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0055,Meningie,Child and family health centre,health,"Meningie Hospital, Community Health Centre, 2 South Terrace",Meningie,SA,5264,-35.66995,139.27574,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0056,Millicent,Child and family health centre,health,North Terrace,Millicent,SA,5280,-37.50606,140.30450,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0057,Miltaburra,Child and family health centre,health,"Miltaburra Area School, RSD 70, Miltaburra Road",Miltaburra,SA,5680,-32.68883,134.39210,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0058,Minlaton,Child and family health centre,health,"Community Health Centre, 9 South Terrace",Minlaton,SA,5575,-34.82010,137.54127,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0059,Modbury,Child and family health centre,health,75 Smart Road,Modbury,SA,5092,-34.82132,138.68023,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0060,Morphett Vale,Child and family health centre,health,1/209 Main South Road,Morphett Vale,SA,5162,-35.11212,138.56522,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0061,Mount Barker,Child and family health centre,health,4 Mann Street,Mount Barker,SA,5251,-35.08506,138.89115,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0062,Mount Gambier,Child and family health centre,health,5 Heriot Street,Mount Gambier,SA,5290,-37.83984,140.76454,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0063,Munno Para,Child and family health centre,health,Corner Anderson Walk and Morialta Drive,Smithfield,SA,5114,-34.71868,138.75425,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0064,Murray Bridge,Child and family health centre,health,11a West Terrace,Murray Bridge,SA,5253,-35.11153,139.27622,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0065,Naracoorte,Child and family health centre,health,82 Ormerod Street,Naracoorte,SA,5271,-36.87936,140.64709,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0066,Noarlunga,Child and family health centre,health,"GP Plus Super Clinic, Building 20 Alexander Kelly Drive",Noarlunga Centre,SA,5168,-35.14974,138.49632,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0067,Norwood,Child and family health centre,health,34 The Parade,Norwood,SA,5067,-34.91998,138.63057,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
